q_id,u_id,timestamp
10420412,0,2012-08-05T21:43:23
10420413,0,2012-08-05T21:43:25
10420505,0,2012-08-05T21:43:26
10420682,0,2012-08-05T21:43:27
10367411,0,2012-08-05T21:43:29
10313929,0,2012-08-05T21:43:30
10368717,0,2012-08-05T21:43:31
10353604,0,2012-08-05T21:43:33
10367412,0,2012-08-05T21:43:34
10353605,0,2012-08-05T21:43:35
10367413,0,2012-08-05T21:43:36
10370761,0,2012-08-05T21:43:37
10368718,0,2012-08-05T21:43:39
9426283,0,2012-08-05T21:43:39
10368719,0,2012-08-05T21:43:40
10313931,0,2012-08-05T21:43:41
10368720,0,2012-08-05T21:43:43
10313932,0,2012-08-05T21:43:44
10367502,0,2012-08-05T21:43:45
10367414,0,2012-08-05T21:43:46
10313933,0,2012-08-05T21:43:47
10367415,0,2012-08-05T21:43:48
10367058,0,2012-08-05T21:43:49
10313934,0,2012-08-05T21:43:50
10313935,0,2012-08-05T21:43:51
10367416,0,2012-08-05T21:43:53
10367417,0,2012-08-05T21:43:54
10353607,0,2012-08-05T21:43:55
10196212,0,2012-08-05T21:43:56
10197414,0,2012-08-05T21:43:57
10367059,0,2012-08-05T21:43:58
10191725,0,2012-08-05T21:44:00
10353608,0,2012-08-05T21:44:02
10367063,0,2012-08-05T21:44:08
10353609,0,2012-08-05T21:44:10
10139021,0,2012-08-05T21:44:12
10246066,0,2012-08-05T21:44:15
10444659,0,2012-08-05T21:44:16
10246067,0,2012-08-05T21:44:16
10139022,0,2012-08-05T21:44:17
10245792,0,2012-08-05T21:44:21
10204782,0,2012-08-05T21:44:23
10197415,0,2012-08-05T21:44:24
9782469,0,2012-08-05T21:44:26
10191730,0,2012-08-05T21:44:27
10430639,0,2012-08-05T21:44:29
9775590,0,2012-08-05T21:44:31
9914143,0,2012-08-05T21:44:33
9754778,0,2012-08-05T21:44:34
10445818,0,2012-08-05T21:44:37
10445819,0,2012-08-05T21:44:38
9831633,0,2012-08-05T21:44:39
9080469,0,2012-08-05T21:44:41
9803535,0,2012-08-05T21:44:42
9782472,0,2012-08-05T21:44:44
9831636,0,2012-08-05T21:44:45
9782475,0,2012-08-05T21:44:47
9803536,0,2012-08-05T21:44:48
9803540,0,2012-08-05T21:44:50
9789400,0,2012-08-05T21:44:52
9782479,0,2012-08-05T21:44:55
9782480,0,2012-08-05T21:44:57
9782481,0,2012-08-05T21:44:58
9663074,0,2012-08-05T21:45:00
4106884,0,2012-08-05T21:45:03
9661991,0,2012-08-05T21:45:05
9370305,0,2012-08-05T21:45:08
9304135,0,2012-08-05T21:45:09
8802557,0,2012-08-05T21:45:11
9183506,0,2012-08-05T21:45:12
8802559,0,2012-08-05T21:45:14
8894273,0,2012-08-05T21:45:17
8801831,0,2012-08-05T21:45:18
8801832,0,2012-08-05T21:45:19
8801835,0,2012-08-05T21:45:23
8962910,0,2012-08-05T21:45:24
8801836,0,2012-08-05T21:45:26
3721481,0,2012-08-05T21:45:28
10444659,0,2012-08-05T21:45:28
8802561,0,2012-08-05T21:45:31
8628486,0,2012-08-05T21:45:34
8611108,0,2012-08-05T21:45:35
8628487,0,2012-08-05T21:45:36
8611109,0,2012-08-05T21:45:38
8628488,0,2012-08-05T21:45:40
8611113,0,2012-08-05T21:45:48
8612952,0,2012-08-05T21:45:49
8612953,0,2012-08-05T21:45:50
8611114,0,2012-08-05T21:45:51
8611116,0,2012-08-05T21:45:53
8513320,0,2012-08-05T21:45:55
8513321,0,2012-08-05T21:45:56
10445820,0,2012-08-05T21:45:57
8513322,0,2012-08-05T21:45:58
8517709,0,2012-08-05T21:45:59
8485255,0,2012-08-05T21:46:00
8612955,0,2012-08-05T21:46:03
8485257,0,2012-08-05T21:46:05
8485258,0,2012-08-05T21:46:07
8580428,0,2012-08-05T21:46:08
8578313,0,2012-08-05T21:46:09
8045914,0,2012-08-05T21:46:09
10444659,0,2012-08-05T21:46:32
10445821,0,2012-08-05T21:46:46
10445822,0,2012-08-05T21:47:16
10379502,0,2012-08-05T21:47:27
10419657,0,2012-08-05T21:47:32
10444659,0,2012-08-05T21:47:47
9769826,0,2012-08-05T21:47:52
10444659,0,2012-08-05T21:48:12
3980681,0,2012-08-05T21:48:18
10445823,0,2012-08-05T21:48:44
10386468,58334279,2012-08-05T21:48:52
10444659,0,2012-08-05T21:48:59
8974133,0,2012-08-05T21:49:39
